ulasan_st,label
"['habis', 'reaksi', 'apa']",negatif
"['nyoba', 'kali', 'emang', 'bener', 'langsung', 'manjur']",positif
"['haid', 'minum']",negatif
"['udh', 'blum', 'hasil']",negatif
"['produk', 'habis', 'haid', 'haid']",negatif
"['minum', 'bom', 'efek']",negatif
"['cocok', 'telat']",positif
"['serius', 'jamu', 'rekomended', 'banget', 'cocok', 'telat']",positif
"['gk', 'reaksi']",negatif
"['alhamdulillah', 'udh', 'haid', 'skrg', 'haid', 'lancar']",positif
"['packingnya', 'rapi', 'aman', 'kirim', 'cepet', 'banget', 'manjur', 'banget', 'udah', 'kali', 'beli', 'minum', 'besok', 'langsung', 'haid', 'thank', 'you', 'seller']",positif
"['kirim', 'cepat', 'alhamdulillah', 'banget', 'pagi', 'paket', 'dateng', 'malemnya', 'langsung', 'minum', 'jeda', 'jam', 'langsung', 'dateng']",positif
"['maaf', 'kasih', 'nilai', 'pingin', 'hasilny', 'dl', 'alhamdulillah', 'minum', 'jamu', 'hasilny', 'langsung', 'terimakasih']",positif
"['alhamdulillahobatnya', 'recommended', 'banget', 'minum', 'x', 'udah', 'dapet', 'haid', 'bln', 'blm', 'dapet']",positif
"['udah', 'merek', 'pelancar', 'haid', 'ngefek']",negatif
"['kualitas', 'produk', 'produk', 'original', 'harga', 'produk']",positif
"['minum', 'menstruasi', 'lancar', 'kirim', 'cepat']",positif
"['minum', 'langsung', 'efek']",positif
"['tokcer', 'abis', 'minum', 'x', 'haid', 'langsung', 'lancar']",positif
"['mantapbrngnya', 'real', 'ampuh', 'banget', 'minum', 'langsung', 'reaksimksh']",positif
"['mesan', 'x', 'kemaren', 'ud', 'habis', 'pack', 'blm', 'khasiat']",negatif
"['mantap', 'dach', 'alhamdulillah', 'minum', 'kotak', 'udah', 'tokcer', 'niehehehehe']",positif
"['telat', 'minggu', 'an', 'coba', 'minum', 'langsung', 'haiddibarengi', 'makan', 'nanans', 'lngsung', 'haid', 'deras', 'bangetttt']",positif
"['minum', 'jamu', 'haid', 'lancar', 'makasih']",positif
"['khasiat', 'bener', 'ampuh', 'ngontrol', 'hormon', 'haid']",positif
"['lancar', 'banget', 'haid', 'minum', 'jamu', 'mantap']",positif
"['ampuh', 'banget', 'konsumsi', 'langsung', 'darah']",positif
"['khasiat', 'bener', 'oke', 'ragu', 'jamu']",positif
"['habis', 'kotak', 'blm', 'ubah', 'cocok']",negatif
"['udah', 'kapsul', 'minum', 'bom', 'haid', 'minum', 'badan', 'tibatiba', 'lemes', 'bgt', 'dipaksain', 'sampe', 'kapsul', 'badan', 'ku', 'lemes', 'huhu', 'sisa', 'kapsul', 'gaberani', 'minum', 'bom', 'haid']",negatif
"['manjur', 'jamu', 'habis', 'kapsul', 'bom', 'haid', 'haid', 'atur', 'telat', 'haid', 'minggu', 'bom', 'haid']",negatif
"['maaf', 'bintang', 'minum', 'kunjung', 'haidfotonya', 'kayak', 'pesan']",negatif
"['abis', 'bungkus', 'haid', 'barang', 'cepet', 'sampe', 'san', 'sesuai']",negatif
"['maaf', 'nggak', 'ngefek']",negatif
"['efek', 'apa', 'minum', 'atur', 'haid']",negatif
"['maju', 'pdhl', 'udh', 'habis', 'kotak']",negatif
"['langgan', 'beli', 'ngatasin', 'haid', 'telat', 'minum', 'tanggal', 'haid', 'dtg', 'beneran', 'bkn', 'haid', 'cpt']",positif
"['jamu', 'manjur', 'reaksi']",negatif
"['minum', 'blm', 'ngefek']",negatif
"['udah', 'minum', 'rasa', 'apaapa']",negatif
"['kasiatnya', 'minum', 'bungkus']",positif
"['manjur', 'banget', 'jamunyadapat', 'gratis', 'bedak', 'bengkoang']",positif
"['sengaja', 'kasih', 'ulas', 'lambat', 'minum', 'kali', 'sesuai', 'anjur', 'pakai', 'alhamdulilah', 'nama', 'tamu', 'langsung']",positif
"['kali', 'manjur', 'banget', 'suka', 'jamu']",positif
"['sengaja', 'kasi', 'nilai', 'nunggu', 'efek', 'alhamdulillah', 'efek', 'manjur', 'minum', 'bungkus']",positif
"['jamu', 'mempan', 'ngefek']",negatif
"['khasiat', 'manjur']",negatif
"['pake', 'haid', 'bsa', 'lancar', 'darah', 'haid']",positif
"['dada', 'sesak']",negatif
"['coba', 'jamu', 'kali', 'bener', 'manjur', 'banget', 'jamu']",positif
['efect'],negatif
"['nemu', 'jamu', 'coba', 'ngefek', 'banget', 'telat', 'manjur']",positif
"['udah', 'minum', 'x', 'blm', 'tanda', 'haid']",negatif
"['kirim', 'cepat', 'respon', 'jual', 'cepat', 'produk', 'kualitas', 'minum', 'reaksi', 'order', 'bonus', 'produk', 'terimakasih']",positif
"['x', 'minum', 'langsung', 'cek', 'komposisi', 'aman', 'karna', 'asal', 'bahan', 'herbal', 'worth', 'to', 'buy']",positif
"['makasih', 'manjur', 'jamu', 'haid']",positif
"['manjur', 'bgt', 'bln', 'haid', 'lancar', 'dikit', 'cm', 'hr', 'minum', 'lgsung', 'lancar']",positif
"['jamu', 'manjur', 'lancar', 'banget', 'haid']",positif
"['atas', 'nyeri', 'haid', 'siklus', 'haid', 'atur']",positif
"['minum', 'kali', 'langsung', 'haid', 'alhamdulilah']",positif
"['udh', 'kali', 'beli', 'toko', 'bener', 'cepet', 'bgt', 'khasiat']",positif
"['produk', 'cocok', 'x', 'pagi', 'x', 'malem', 'langsung', 'kirim', 'cepet']",positif
"['sorry', 'bru', 'ksh', 'nilai', 'smpat', 'jamu', 'bagus', 'tq']",positif
"['minum', 'langsung', 'badan', 'udh', 'sakit', 'karna', 'haid', 'atur', 'skrg', 'enakeunn', 'mudah', 'tratur']",positif
"['coba', 'langsung', 'lancar', 'haid', 'ksh', 'gratis', 'produk', 'jg', 'terimakasih']",positif
"['manfaat', 'obat', 'bungkus', 'minum', 'atur', 'alhamdulillah', 'mens', 'terima', 'kasih']",positif
"['minum', 'ubah']",negatif
"['obat', 'ampuh', 'manjur', 'minum', 'besok', 'langsung', 'menstruasi']",positif
"['alhm', 'dllh', 'ccok', 'aq', 'prnah', 'tellat', 'bln', 'minggu', 'minum', 'obat', 'lngsung', 'haid', 'bnxak', 'gumpal', 'darah', 'kluarr', 'nyeri', 'kurang', 'blnaq', 'punx', 'sakit', 'kista', 'ovarium', 'haid', 'ku', 'prnh', 'atur']",positif
"['bener', 'mujarab', 'jamu', 'telat', 'dtang', 'sen', 'disopee', 'donk', 'jg', 'jalan', 'jamu', 'eehh', 'alhamdulillah', 'lngs']",positif
"['maaf', 'kak', 'kasih', 'nilai', 'soale', 'coba', 'liat', 'hasil', 'alhamdulillah', 'banget', 'kak', 'obat', 'efektif', 'bantu', 'telat', 'udah', 'coba', 'kapsul', 'jamu', 'nifas', 'abis']",positif
"['sengaja', 'kasih', 'nilainunggu', 'reaksi', 'dulualhamdulillah', 'manjur', 'telat', 'hrminum', 'habis', 'dapet', 'haid', 'packing', 'rapiprivatepengiriman', 'cepet', 'bangetcuma', 'beli', 'bonusmakasih', 'seller']",positif
"['jujur', 'tipe', 'orang', 'jrang', 'kasih', 'rivew', 'tpi', 'kali', 'beda', 'masyallah', 'bnget', 'berkat', 'obat', 'x', 'minum', 'langsung', 'mens', 'karna', 'ak', 'bsa', 'nyampe', 'bln', 'gk', 'mens', 'periksa', 'dokter', 'spog', 'biaya', 'lum']",positif
"['ntah', 'gimana', 'minum', 'kapsul', 'langsung']",positif
"['ni', 'kemarin', 'udah', 'minum', 'kali', 'emang', 'efek']",negatif
"['minum', 'malemnya', 'udah', 'langsung', 'banjir', 'telat', 'tp', 'hasil', 'test', 'negatif']",positif
"['telat', 'was', 'takut', 'hasil', 'tespek', 'positif', 'alhamdulillah', 'konsumsi', 'jamu', 'hari', 'jawab']",positif
"['pokok', 'gausah', 'takut', 'beli', 'jamu', 'bentuk', 'kapsul', 'aman', 'banget', 'manjur', 'banget', 'rekomendasi', 'banget']",positif
"['x', 'minum', 'langsung', 'mens', 'bln', 'gk', 'mens', 'dapet', 'free', 'rumput', 'patimah', 'recommended']",positif
"['bener', 'ampuh', 'paket', 'dtg', 'jam', 'langsung', 'aq', 'minum', 'reaksi', 'cepat', 'banget', 'jam', 'langsung', 'lega', 'banget', 'terima', 'kasih', 'kak']",positif
"['langsung', 'haid', 'dibarengin', 'makan', 'nanas']",positif
"['udh', 'habis', 'kotak', 'tpi', 'blm', 'haid', 'tpi', 'nnti', 'tunggu', 'klu', 'haid', 'bari', 'ubah', 'bintang', 'skrg']",negatif
"['udah', 'habis', 'bungkus', 'efeknyaa', 'layan', 'bagus']",negatif
"['lancar', 'banget', 'haid', 'seta', 'minum', 'jamu']",positif
"['nyobaaa', 'langsung', 'manjur', 'topp']",positif
"['good', 'udah', 'langgan', 'banget', 'jamu']",positif
"['makasiiihhbarang', 'nyampe', 'cepetsesuai', 'pesenanmakasih', 'say', 'bonus', 'gali', 'singsetnyahehehhehe']",positif
"['cocok', 'banget', 'lancar', 'haid']",positif
"['bagus', 'kayak', 'yaa']",positif
"['produk', 'admin', 'ramah', 'udah', 'kali', 'beli', 'kasih', 'bonus', 'makasiii']",positif
"['minum', 'kali', 'besok', 'banjir', 'sakit', 'perut']",positif
"['efekti', 'lancar', 'haid']",negatif
"['blm', 'hasil', 'udh', 'minum']",negatif
"['jumat', 'mlm', 'minum', 'sabtu', 'pagi', 'mens', 'secepet', 'manjur', 'minum', 'x', 'telat', 'mens', 'dh', 'mggu']",positif
"['nyoba', 'alhamdulillah', 'minum', 'kali', 'langsung', 'haid', 'deres', 'udah', 'telat', 'obat', 'bagus', 'baget', 'poko']",positif
"['beli', 'minum', 'efek']",negatif
"['pas', 'abis', 'minum', 'jamu', 'perut', 'sakit', 'bgttt', 'lgsg', 'panas', 'perih', 'x', 'minum', 'doa']",negatif
"['alhamdulillah', 'berkat', 'obat', 'nifas', 'abis', 'kapsul', 'langsung', 'haid', 'skrng', 'sdang', 'haid', 'ttap', 'minum', 'karna']",positif
"['packing', 'rapih', 'ngaruh', 'pdhl', 'telat', 'bulan', 'bpom', 'daftar', 'sy', 'cek', 'bpom', 'online', 'maaf']",negatif
"['jamu', 'habis', 'du', 'box', 'tamu']",negatif
"['mantap', 'banget', 'fungsi', 'pokok', 'amanah', 'packing', 'rapi', 'kirim', 'cepat']",positif
"['cocok', 'haid', 'ku', 'lancar', 'bulan']",positif
"['ngefek', 'haid']",negatif
"['alhamdulillah', 'habis', 'bungkus', 'langsung', 'udah', 'coba', 'obat', 'nggak', 'ad']",positif
"['khasiap', 'mantapppp', 'ragu']",positif
"['mantap', 'terima', 'kasih', 'kurir', 'toko', 'amanah']",positif
"['serius', 'jamu', 'manjur', 'banget']",positif
"['khasiat', 'banget', 'jamu', 'oke', 'deh', 'pokok']",positif
"['maaf', 'nilai', 'x', 'minum', 'udah', 'langsung', 'haid', 'makan', 'nanas', 'siang', 'malem', 'langsung', 'haid']",positif
"['pakai', 'jamu', 'hari', 'langsung', 'haid']",positif
"['reaksi', 'cepat', 'habis', 'kotak', 'haid']",negatif
"['konsumsi', 'muncul', 'efek', 'khasiat']",negatif
"['sesuai', 'etalasi', 'emas', 'cepat', 'bonus']",positif
"['keren', 'nyampenya', 'cepet', 'pake', 'banget', 'udh', 'gitu', 'packing', 'rapih', 'rapet', 'bgt', 'makasih', 'bonus']",positif
"['nilai', 'jamu', 'efek']",negatif
"['manjur', 'banget', 'langsung', 'trmksh', 'min']",positif
"['bener', 'bener', 'ampuh', 'khaasiatnya']",positif
"['sesuai', 'pesan', 'coba', 'emas', 'cepat', 'aman', 'dapet', 'bonus', 'makasih']",positif
"['kirim', 'sesuai', 'bonus', 'cocok', 'ngaruh', 'makasih', 'ownernya', 'rama']",negatif
"['telat', 'coba', 'minum', 'obat', 'tamu', 'langsung']",positif
"['jamu', 'enak', 'bau', 'kecewa', 'banget']",negatif
"['lambat', 'mens', 'udah', 'tpi', 'tes', 'negatif', 'trus', 'coba', 'minum', 'jamu', 'habis', 'box', 'butir', 'alhamdulillah', 'udah', 'lang']",positif
"['mujarab', 'banget', 'jamu']",positif
"['foto', 'nilai', 'obat', 'udah', 'habis', 'enak', 'blom', 'dapete', 'rutin', 'minum']",negatif
"['cepat', 'cuman', 'ngefeknya', 'pagi', 'minum', 'sore', 'langsung']",positif
"['konsumsi', 'pagi', 'haid', 'alhamdulillah']",positif
"['minum', 'pagi', 'sore', 'langsung', 'haid', 'tp', 'minum', 'jamu', 'racik']",positif
"['pagi', 'minum', 'butir', 'sore', 'bercak', 'tetes']",positif
"['minum', 'kali', 'alhamdulillah', 'depan', 'langsung', 'ngeflek', 'badan', 'enak', 'ngga', 'tunggu', 'minum']",positif
"['bantu', 'problem', 'haid', 'btw', 'thanks', 'bonus', 'jamu', 'nnti', 'edit', 'nilai', 'hasil', 'gimana']",positif
"['sengaja', 'kasih', 'nilai', 'karna', 'coba', 'eh', 'bener', 'telat', 'minggu', 'langsung', 'haid']",positif
"['coba', 'nyeri', 'haid', 'gitu', 'lngsng', 'sembuh', 'lg', 'stress', 'gin', 'suka', 'macet', 'minum', 'kali', 'lngsng', 'lancar', 'der']",positif
"['bantu', 'keluar', 'sisa', 'darah', 'kotor']",positif
"['baik', 'lancar']",positif
"['enak', 'minum', 'enek', 'hasil']",negatif
"['paket', 'darat', 'udh', 'minum', 'blm', 'tanda']",negatif
"['paket', 'darat', 'aman', 'packing', 'rapi', 'kirim', 'jg', 'cepat', 'minum', 'hr', 'mens', 'lgsg', 'cm', 'susah', 'wkt', 'minum', 'butir', 'skaligus']",positif
"['udh', 'abis', 'kotak', 'efek', 'hasil', 'kecewa', 'buang', 'buang', 'uang', 'doang', 'khasiat']",negatif
"['telat', 'haid', 'minggu', 'minum', 'x', 'udah', 'haid', 'seller', 'ramah', 'thx', 'bonus']",positif
"['manjur', 'banget', 'jamu', 'minum', 'langsung', 'haid']",positif
"['kirim', 'cepat', 'kemas', 'rapi', 'jaga', 'privasi', 'tp', 'efek', 'ap']",negatif
"['jamu', 'bener', 'mujarab', 'banget', 'cocok', 'haid', 'lancar']",positif
"['jamu', 'nifas', 'ok', 'banget', 'emang', 'gk', 'instan', 'langsung', 'haid', 'tp', 'minggu', 'ukur', 'jamu', 'tradisional', 'oke', 'khasiat']",positif
"['gada', 'ngefek', 'sayaaaaaaaaaa', 'pil', 'isi', 'bau', 'herbal']",negatif
"['beneran', 'ampuh', 'banget']",positif
"['serius', 'telat', 'haid', 'haid', 'jamu', 'udah', 'dateng', 'pakek', 'gk', 'me']",positif
"['maaf', 'kasih', 'ulas', 'nyoba', 'kasiatnya', 'alhamdulillah', 'hari', 'minum', 'lngsung', 'haid', 'lancar', 'udah', 'telat', 'min']",positif
"['khasiat', 'manjur', 'haid', 'pas', 'udah', 'henti', 'minum']",negatif
"['minum', 'langsung', 'haid', 'kuar', 'lendir', 'bercak', 'coklat', 'tiga', 'sore', 'udah', 'haid', 'lancar']",positif
"['sengaja', 'kasih', 'nilai', 'ngeliat', 'hasil', 'telat', 'minum', 'x', 'langsung', 'haid']",positif
"['hbs', 'kapsul', 'blm', 'haid']",negatif
"['jamu', 'khasiat', 'telat', 'efektif', 'banget']",positif
"['bagus', 'obat', 'manjur', 'telat', 'dtang', 'wajib', 'minum', 'obat']",positif
"['udah', 'minum', 'smpek', 'habis', 'blm', 'jga', 'haid']",negatif
"['minum', 'kali', 'haid', 'pdhl', 'udh', 'telat', 'minggubersyukur', 'banget', 'alhamdulillah', 'pokok', 'recommended', 'adminya', 'ramahpengirimanya', 'cepet', 'bangett', 'uuu']",positif
"['bagus', 'banget', 'udah', 'telat', 'bulan', 'minum', 'jamu', 'nifus']",positif
"['minum', 'jamu', 'box', 'haid']",negatif
"['lumayan', 'hasil', 'minum', 'dus', 'habis', 'hasil', 'terimakasih', 'seller']",positif
"['kirim', 'cepat', 'minum', 'mens', 'mens']",negatif
"['atur', 'haid', 'cobain', 'jamu', 'nifas', 'manjur']",positif
"['manjur', 'banget', 'minum', 'langsung', 'haid', 'top']",positif
"['habis', 'jamu', 'tp', 'blum', 'haid', 'jg']",negatif
"['alhamdulillah', 'minum', 'siang', 'besok', 'langsung', 'terimakasih', 'yaa']",positif
"['kali', 'minum', 'langsung', 'deras', 'nyeri', 'perut']",positif
"['minum', 'x', 'hari', 'kapsul', 'manjur', 'haid', 'telat', 'langsung']",positif
"['manjur', 'banget', 'x', 'minum', 'udah', 'mens', 'pokok', 'recomend', 'deh']",positif
"['jamu', 'luntur', 'cocok', 'kali', 'minum', 'udah', 'deres']",positif
"['lancar', 'sekrang', 'alhamdulillah', 'langsung', 'atur']",positif
"['udah', 'habis', 'minum', 'pack', 'mas', 'halang', 'mens']",negatif
"['produk', 'beneran', 'ampuh', 'darah', 'haid', 'makasih', 'seller']",positif
"['mantap', 'kapsul', 'minum', 'langsung', 'haid']",positif
"['xtokcer', 'x', 'minum', 'langsung', 'kluar', 'kirim', 'cepet', 'kurir']",positif
"['udah', 'minum', 'hri', 'blumjuga', 'haid']",negatif
"['kirim', 'cepat', 'jamu', 'ok', 'minum', 'x', 'alhamdulillah', 'langsung', 'dapet', 'gel', 'gel', 'langsung', 'hilang']",positif
"['minum', 'hadir', 'tamu']",positif
"['makasih', 'bner', 'manjur', 'top', 'banget']",positif
"['top', 'jamu', 'habis', 'box', 'allhmdulillah', 'haid', 'lancar']",positif
"['cocok', 'herbal', 'haid', 'lancar', 'gacor']",positif
"['kali', 'coba', 'jamu', 'langsung', 'reaksi', 'jamu', 'pelancar', 'haid']",positif
"['direkomdasikan', 'lancar', 'haid']",positif
"['recomend', 'banget', 'ampuh', 'atas', 'telat']",positif
"['keren', 'love', 'pokok', 'packing', 'rapiobatnya', 'manjurhaid', 'langsung', 'lancar']",positif
"['gila', 'minum', 'pagi', 'kapsul', 'siang', 'udh', 'haid', 'thenkyu', 'dokter', 'minggu', 'udh']",positif
"['khasiat', 'ampuh', 'abis', 'bungkus', 'udah', 'dateng', 'lancar', 'banget']",positif
"['barang', 'terima', 'minum', 'habis', 'bungkus', 'blm', 'tanda', 'jg']",negatif
"['btw', 'manjur', 'banget', 'obat', 'udah', 'beli', 'kali', 'telat', 'minum', 'jamu', 'habis', 'kotak', 'langsung', 'haid']",positif
"['barang', 'sesuai', 'pesanudh', 'minum', 'haritapi', 'reaksi']",negatif
"['blm', 'khasiat', 'bad', 'sayablm', 'mens', 'udh', 'minum', 'tp', 'trimaksih']",negatif
"['sukaaa', 'bangetttttttt', 'thnkyuu', 'kak', 'haid', 'telat', 'minggu', 'td', 'buka', 'minum', 'butir', 'jam', 'an', 'langsung', 'haid']",positif
"['kirim', 'cepat', 'pesan', 'jumat', 'siang', 'sabtu', 'siang', 'manjur', 'bgt', 'minum', 'kali', 'senin', 'sore']",positif
"['abis', 'box', 'tp', 'blm', 'haid', 'jgentah', 'cocok', 'gmn', 'tp', 'msh', 'coba', 'sampe', 'abis']",negatif
"['kali', 'minum', 'jam', 'malam', 'jam', 'malam', 'langsung', 'haid']",positif
"['alhamdulillah', 'habis', 'bungkus', 'darah', 'haid', 'langsung', 'deras', 'haha', 'makasih', 'gan', 'pan', 'order']",positif
"['obat', 'manjur', 'banget', 'udah', 'telat', 'haid', 'minggu', 'konsumsi', 'hari', 'langsung', 'haid', 'kirim', 'jaga', 'banget']",positif
"['jamu', 'ampuh', 'banget', 'suka', 'telat', 'haid', 'ampuh', 'bangeeet']",positif
"['coba', 'sii', 'karna', 'udh', 'telat', 'haid', 'minggu', 'tpi', 'nyangka', 'obat', 'bnr', 'ampuh', 'x', 'minum', 'udh', 'haid']",positif
"['andal', 'telat', 'haid', 'manjur', 'poll', 'bulan', 'telat', 'haid', 'minum', 'blm', 'bungkus', 'lsg', 'haid']",positif
"['produk', 'oke', 'telat', 'haid', 'minggu', 'minum', 'sesuai', 'anjur', 'haid', 'langsung', 'deres', 'bgttttt']",positif
"['alhamdulillah', 'udah', 'bukti', 'manjur', 'udah', 'habis', 'kotak', 'udah', 'haid', 'pdhl', 'telat', 'bln', 'terimakasih']",positif
"['jamu', 'enak', 'konsumsi', 'sanget', 'ngefek', 'lancar', 'telat']",positif
"['manjur', 'banget', 'telat', 'haid', 'habis', 'minum', 'obat', 'an', 'langsung', 'haid']",positif
"['bener', 'ampuh', 'deh', 'msh', 'x', 'minum', 'lg', 'tp', 'udah', 'dapetseneng', 'bgt', 'stlh', 'tlat', 'hmpir', 'bln', 'terima', 'kasih']",positif
"['ampuh', 'haid', 'sakit', 'nga', 'lancar']",positif
"['manjur', 'bgt', 'minum', 'kapsul', 'besok', 'mens', 'recommended', 'bgtttt']",positif
"['cocokkkkrekomen', 'box', 'luruh', 'haid', 'lambat', 'minggu']",positif
"['minum', 'rutin', 'habis', 'box', 'blm']",negatif
"['tpi', 'sayang', 'ngefek']",negatif
"['efek', 'obat', 'bagus', 'banget', 'cocok', 'telat', 'bulan']",positif
"['minum', 'x', 'langsung', 'dapet', 'sakit', 'perut', 'mens', 'terimakasih']",positif
"['alhamdulillah', 'udah', 'abis', 'minum', 'hari']",positif
"['liat', 'khasiat', 'udah', 'minum', 'x']",negatif
"['udh', 'habis', 'kotak', 'blm', 'mens']",negatif
"['kali', 'minum', 'udah', 'langsung', 'dateng', 'tamu', 'cantik']",positif
"['udah', 'minggu', 'telat', 'minum', 'x', 'malempagi', 'siang', 'udah', 'menstruasi']",positif
"['udh', 'minum', 'ngefekcm', 'bercak', 'merah', 'dikittttt', 'bgt', 'celana', 'minum', 'brp', 'bnyk', 'haid', 'lancar']",negatif
"['msh', 'telat', 'tp', 'ngefek']",negatif
"['otw', 'box', 'halang']",negatif
"['mantapp', 'kali', 'minum', 'langsung', 'haid', 'minggu', 'telat']",positif
"['haid', 'langsung', 'bungkus', 'terimakasih']",positif
"['bener', 'ampuh', 'btw', 'aq', 'minum', 'hr', 'lngsung', 'haid', 'deres', 'bnget', 'nyeri', 'perut', 'gk', 'ganggu', 'aktvtas']",positif
"['alhamdulillah', 'cocok', 'minum', 'habis', 'bungkus', 'lngusng', 'haid', 'lancaaar', 'jaya']",positif
"['rekomendasi', 'bgtt', 'minum', 'x', 'habis', 'langsung', 'haid', 'bagus', 'bgtt', 'jamuuu']",positif
"['habis', 'bungkus', 'jamu', 'mujarab', 'banget']",positif
"['obat', 'udh', 'abis', 'tpi', 'ttp', 'blm', 'haid']",negatif
['reaksi'],negatif
"['udah', 'coba', 'abis', 'butir', 'msh', 'blm', 'haid']",negatif
"['emas', 'bagus', 'jamu', 'cocok', 'banget', 'jamu', 'pelancar', 'haid', 'mantap', 'pokok']",positif
"['minum', 'x', 'efek']",negatif
"['cocok', 'banget', 'kali', 'minum', 'kapsul', 'dapet', 'bonus', 'jamu', 'serbuk', 'lg', 'langgan', 'lg']",positif
