ulasan,label
"Saya baru coba jamu ini dua kali, tapi bener manjur banget jamunya",positif
Tidak ada efect sama sekali,negatif
tidak cocok jamunya,negatif
"Baru nemu jamu ini setelah saya coba ngefek banget di aku, yang awalnya telat jadi manjur",positif
bisa ngelancarin mens jamunya,positif
udah minum 3X blm ada tanda haid.,negatif
"Pengiriman sangat cepat, respon penjual juga cepat. Produk berkualitas, baru 1 hari minum, sudah bereaksi. Nanti pasti akan order lagi. Apalagi diberi bonus produk, terimakasih ya",positif
"2x minum langsung datang bulan, Sudah cek juga komposisinya sangat aman karna berasal dari bahan"" herbal, Worth to buy👍🏻🔥",positif
"Makasih, manjur jamu nya dan bisa haid lagi . 😇😘",positif
"Manjur bgt , 3 bln ini haid ga lancar dikit dan cm 2 hr aja . Minum ini lgsung lancar ..",positif
"di keterangannya terdaftar BPOM. pas aku chek teryata nggak terdaftar di BPOM. was2 mau coba jadinya,",negatif
"Jamunya manjur sekali, lancar banget haid saya",positif
mengatasi nyeri haid dan siklus haid yg tidak teratur,positif
"Baru minum 2 kali langsung haid, alhamdulilah",positif
"Udh 3 kali beli ditoko ini bener² cepet bgt khasiatnya ,",positif
Produknya cocok walau cuma 2x tiap pagi 2x malem langsung keluar dan pengiriman juga cepet,positif
Sorry bru ksh penilaian. Baru smpat. Jamu ny bagus tq,positif
"2 hari minum langsung keluar, yg tadinya badan udh pada sakit karna haid sering teratur skrg enakeunn , mudah2an terus tratur",positif
baru coba dan langsung lancar haid 🤲. Di ksh gratisan produk jg 😍 terimakasih ya 🥰,positif
Sangat bermanfaat obatnya. Kurang dari satu bungkus minum teratur. Alhamdulillah sudah mens. Terima kasih. 🙏,positif
sudah dua hari minum belum ada perubahan.....,negatif
"Obatnya ampuh dan manjur sekali, sekali minum besoknya langsung menstruasi.",positif
"Alhm dllh ccok di AQ prnah tellat BLN 2 Minggu setelah minum obat ini lngsung haid bnxak gumpalan darah yg kluarr, & nyeri berkurang saat datang BLN,,AQ punx penyakit kista ovarium haid ku TDK prnh teratur",positif
"Bener2 mujarab jamunya, telat dtang bulan pesen ini disopee donk baru jg diperjalanan jamunya, eehh alhamdulillah lngs",positif
"maaf ya kak baru aku kasih nilai, soale tak coba dulu untuk liat hasilnya, alhamdulillah banget ya kak obatnya sangat efektif sangat membantu. aku telat datang bulan udah 12 hari, aku coba kapsul jamu nifas masih abis 12",positif
"Sengaja baru kasih nilai,,nunggu reaksi dulu,,alhamdulillah manjur,, telat 5hr,,minum belum sampai habis sudah dapet haid,, Packing rapi,private,pengiriman cepet banget,,cuma beli 1 dapat bonus,,makasih seller",positif
"Jujur aku tipe orang yg jrang kasih rivew, tpi kali ini beda, MasyAllah bnget berkat obat ini baru 3x minum langsung mens, karna biasanya ak bsa nyampe 6bln gk mens dan berakhir periksa di dokter SpOG dan biayanya lum",positif
Ntah kebetulan atau gimana baru 1 hari minum kapsulnya langsung keluar,positif
Belum tau ni kemarin udah minum 2 kali cuma emang belum ada efek,negatif
"Minum baru sekali, malemnya udah langsung banjir Telat 9 hari tp hasil test negatif",positif
"Saya telat 21 hari tiap hari was2 takut hasil tespek positif, alhamdulillah setelah konsumsi jamu ini 4 harian terjawab sudah",positif
"Pokoknya Gausah takut mau beli, ini cuma jamu yang berbentuk kapsul, aman Banget, manjur banget, rekomendasi banget.",positif
"4x minum langsung mens yg tadinya 2 bln gk mens dapet free rumput patimah juga , sangat recommended 😍",positif
Bener2 ampuh paket Dtg jam 10 langsung aq minum ternyata reaksinya cepat banget jam 2 langsung keluar rasanya lega banget. Terima kasih kak,positif
Baru 4 hari langsung haid dibarengin makan nanas,positif
"Udh habis 2 kotak tpi blm juga haid, tpi Nnti tunggu sampai akhir bulan 12 ini klu haid saya bari saya ubah bintang ny 5, skrg",negatif
"sudah banyak menghabiskan jamu tapi tidak ada efek sama sekali, bagaimana ya",negatif
Udah habis dua bungkus tapi belum ada efeknyaa 😥 Pelayanan nya bagus 🙏,negatif
Lancar banget haid setalah minum jamu ini😻😻,positif
"Baru pertama nyobaaa, langsung manjur, topp",positif
Good!!! Udah langganan banget sama jamu ini❤️,positif
Makasiiihh...barang nyampe cepet..sesuai pesenan...makasih say buat bonus galian singsetnya...hehehhehe😁😁😁,positif
Cocok banget buat melancarkan haid,positif
Bagus sih kayaknya tapi kurang tau juga yaa karena,positif
Bagus dan cocok pakai produk kakak👍👍👍,positif
"Produk baik, admin ramah, udah 2 kali beli disini selalu dikasih bonusan, makasiii",positif
minum 2 kali besoknya banjir. dan ga sakit perut .,positif
Tidak efekti dan tidak melancarkan haidku,negatif
Blm ada hasil udh minum 3hari,negatif
Jumat mlm minum Sabtu pagi ini mens secepet itu manjur nya baru minum 1x padahal telat mens dh 2mggu,positif
"mau nyoba dulu , alhamdulillah minum baru 2 kali langsung haid deres padahal udah telat datang bulan , obatnya bagus baget pokonya 👍",positif
Sudah beli banyak dan minum tidak ada efeknya,negatif
"Pas abis minum jamu ini perut sakit bgttt, lgsg panas perih cuma 4x minum doa",negatif
"Alhamdulillah berkat obat nifas. Saya abis 5 kapsul langsung haid, skrng sdang haid juga ttap saya minum karna supaya d",positif
"Packing rapih, cuma ga ngaruh sama sekali. Pdhl telat sebulan. BPOM nya juga ga terdaftar sy cek di BPOM online.. maaf ya.. 🙏",negatif
jamu sudah habis du box tamu belum datang juga,negatif
Mantap banget berfungsi dengan baik pokoknya amanah packing rapi pengiriman cepat,positif
cocok dan haid ku lancar setiap bulannya,positif
tidak ngefek dan belum haid juga😭,negatif
"Alhamdulillah baru habis 1 bungkus langsung datang bulan, sebelumnya udah pernah coba beberapa obat lain tapi nggak ad",positif
"Khasiap mantapppp, tdk diragukan lagi",positif
"Mantap, terima kasih pak kurir dan tokonya sangat amanah",positif
seriusan jamunya manjur banget,positif
"berkhasiat banget jamu ini, oke deh pokoknya",positif
Maaf baru beri penilaian baru 3x minum udah langsung haid makan nanas siangnya malem nya langsung haid,positif
setelah pemakaian jamu dua harinya langsung haid,positif
Tidak terlalu bereaksi cepat saya harus menghabiskan 2 kotak baru haid,negatif
"sudah beberapa hari mengkonsumsi tapi tidak muncul efek apa apa, tidak ada khasiatnya",negatif
Sesuai etalasi. Pengemasannya sangat cepat dan baik dan selalu ada bonus.,positif
"Wah ini keren sih, nyampenya cepet pake banget, udh gitu packing nya rapih dan rapet bgt. Dan makasih bonusnya ❤",positif
penilaian untuk jamunya tidak ada efek,negatif
manjur banget dan langsung datang bulan trmksh min,positif
Bener bener ampuh kasiatnya,positif
"Sesuai dengan pesanan tapi belum d coba, pengemasan cepat dan aman dapet bonus juga makasih",positif
"Dikirimnya sesuai dan dapat bonus. Tapi di aku kurang cocok, sama sekali ga ngaruh. Tapi makasih ownernya baik dan rama",negatif
sudah telat dua bulan saya coba minum obat ini tamu langsung datang,positif
"jamunya tidak enak dan bau, kecewa banget",negatif
"Terlambat mens udah 12 hari tpi dites negatif, trus aku coba minum ini jamu, habis 1 box lebih (32butir) alhamdulillah udah lang",positif
mujarab banget jamunya,positif
Ga kefoto baru nilai ini. Tapi obatnya udah habis. Enak sih. Cuma blom ada dapete. Mungkin harus rutin juga minum,negatif
Sangat cepat cuman ngefeknya pagi minum sorenya langsung keluar🥰,positif
2 hari konsumsi pagi hari ke 3 haid lagi alhamdulillah,positif
Baru minum sekali pagi hari sorenya langsung haid. Tp sebelumnya aku minum jamu racikan juga sekali.,positif
pagi minum 4 butir sorenya ada bercak 1 tetes,positif
"Aku minum ini 1 kali alhamdulillah 2 hari kedepannya langsung ngeflek di badan juga enak, ngga harus tunggu minum",positif
"Bisa membantu problem haid, btw thanks bonus jamunya❤ *nnti edit penilaian soal hasilnya gimana*",positif
Sengaja baru kasih penilaian karna mau coba dulu eh ternyata bener telat seminggu baru 2hari langsung haid,positif
"Baru di coba sebelumnya si nyeri² haid gitu lngsng sembuh, klo lg stress gini suka macet minum 3 4 kali lngsng lancar der",positif
membantu mengeluarkan sisa2 darah kotor,positif
Memperbaiki datang bulan yg gak lancar,positif
Tidak enak minumnya enek. Tidak ada hasilnya,negatif
Paket mendarat dengan baik.. Udh minum 2 hari tapi blm ada tanda² bakal datang bulan :(,negatif
"Paket mendarat dgn aman, packing rapi & pengiriman jg cepat. Minum 2hr mens lgsg keluar, cm agak susah wkt minumnya, 4 butir skaligus.",positif
Udh abis 3 kotak. Gak ada efek sama sekali. Gak ada hasil. Kecewa!!!! Buang buang uang doang. Gak ada khasiatnya!!!!,negatif
Telat haid 2 minggu baru minum 2x udah haid lagi. Seller ramah. Thx untuk bonusnya❤,positif
"Manjur banget jamu nya ,Baru minum 2 hari langsung haid .",positif
"Pengiriman cepat, kemasan rapi dan sangat menjaga privasi, tp memang di saya tidak ada efek ap2",negatif
"Jamunya bener mujarab banget, cocok untuk saya, haid saya jadi lancar",positif
"Jamu nifasnya ok banget, emang gk instan sih langsung haid, tp seminggu utk ukuran jamu tradisional oke sih khasiatnya",positif
"Gada ngefek sayaaaaaaaaaa, pilnya isi 24, baunya herbal",negatif
"Beneran ampuh banget, 🥰🥰🥰🥰😍🙂🙂🙂🙂🙂🙂🙂😁😁😁😁😁😁😁😁😁😁😁😁(˵ ͡° ͜ʖ ͡°˵)✺◟( ͡° ͜ʖ ͡°)◞✺(",positif
"Seriusan aku yg telat haid 2 bulan bisa haid lagi karena jamu ini, cuma 4 hari udah Dateng dong padahal pakek cara yg lain gk me",positif
Maaf baru kasih ulasan mau nyoba kasiatnya dulu dan Alhamdulillah 4harian minum lngsung haid lancar udah telat lebih 2 min,positif
"Klo di aku khasiatnya biasa aja ga terlalu manjur, keluar haidnya pas udah berhenti minum ini.",negatif
"aku baru minum 2,5 hari langsung haid hari pertama kekuar lendir hari kedua ada bercak kecoklatan hari ketiga sore udah haid & lancar :)",positif
"Sengaja baru kasih nilai mau ngeliat hasilnya dulu, sering telat datang bulan dan ternyata baru minum 2x langsung haid 😍",positif
sudah hbs 24kapsul Tapi blm haid juga,negatif
jamu berkhasiat untuk yang telat datang bulan efektif banget,positif
Bagus obat nya manjur bisa buat yg telat dtang bulan wajib minum obat ini ya,positif
udah di minum smpek habis blm jga haid.,negatif
"Baru minum 2 kali akhirnya haid juga pdhl udh telat 3 Minggu,bersyukur banget alhamdulillah pokoknya recommended 
  Adminya ramah,pengirimanya cepet bangett uuu",positif
bagus banget di aku udah telat sebulan dan akhirnya setelah minum jamu nifus Sekarang jadi datang bulan,positif
minum jamu 2box tapi haid belum datang juga,negatif
"Lumayan bekerja ada hasil setelah minum 1 dus habis, 2-3hari baru ada hasil. Terimakasih seller",positif
"Pengiriman cepat , sudah diminum tapi gak mens mens",negatif
Yg gak teratur haid nya cobain aja jamu nifas ini pasti manjur,positif
"manjur banget minum hari ini, 3 hari kemudian langsung haid top",positif
Sdh habis jamunya tp blum haid jg 😌,negatif
Alhamdulillah aku minum siang hari besok nya langsung keluar.. terimakasih yaa ❤️,positif
"beberapa kali minum langsung keluar deras, nyeri di perut juga gak lama",positif
"2 hari minum 2x sehari 4 kapsul sangat manjur, haid telat 1 bulan langsung keluar",positif
"Manjur banget baru 3x minum udah mens, pokoknya recomend deh👍👍👍",positif
Jamu pelunturnya sangat cocok baru 4 kali minum udah deres,positif
Datang bulan tidak lancar sekrang alhamdulillah langsung teratur,positif
Udah habis minum 2 pack tapi masi belum halangan atau mens,negatif
untuk produknya beneran ampuh bikin darah haid keluar. makasih seller,positif
"Mantap kapsul nya, minum hari kedua langsung haid.",positif
Baru pertama x...tokcer 3 x minum langsung kluar... pengiriman cepet kurir nya baik...😍,positif
Udah minum 4hri tapi blum.juga haid .,negatif
"Pengiriman sangat cepat jamu ok minum 2x alhamdulillah langsung dapet, pegel pegel langsung hilang",positif
Setelah 4 hari minum .... baru hadir tamu nya,positif
"Makasih ya bner2 manjur, top banget 👍",positif
top jamu nya setelah habis 2 box allhmdulillah haid nya lancar,positif
Saya cocok dg herbal ini haid yang gak lancar jadi gacor,positif
"satu kali coba jamunya langsung reaksi, jamu pelancar haid",positif
Direkomdasikan sih untuk melancarkan haid,positif
Recomend banget ampuh mengatasi telat datang bulan,positif
"Keren love pokoknya packing rapi,obatnya manjur🥰🥰🥰haid langsung lancar",positif
Gila sih ini baru minum pagi 4 kapsul siang udh haid 🥺🙏thenkyu ya jadi ga jadi ke dokter padahal Minggu sebelumnya udh,positif
Sangat berkhasiat ampuh aku baru abis 1 bungkus udah dateng dan lancar banget...,positif
"Barang sudah diterima dan sudah diminum, sudah mau habis 2 bungkus tapi blm ada tanda2 jg,",negatif
"btw manjur banget obatnya, udah pembelian yg ke tiga kali. aku telat 3 hari minum jamu ini habis 1 kotak langsung haid :)) d",positif
"Barang sesuai yg di pesan,udh d minum 2hari,tapi belum ada reaksi apa2.",negatif
"Blm ada khasiatnya dibadan saya,blm mens juga udh 2 hari minum tp trimaksih",negatif
SUKAAA BANGETTTTTTTT ❤❤❤ Thnkyuu ya kak .. aku yg haid telat seminggu lebih . Td buka minum 4 butir jam 8 an aku langsung haid,positif
"Pengiriman cepat, pesan jumat siang hari sabtu siang sudah sampai. Di aku manjur bgt, baru minum 5 kali hari senin sore sudah datang bulan.",positif
"Sudah hampir abis 1 box tp blm haid jg,,entah ga cocok atau gmn,, tp msh di coba sampe abis aja dulu",negatif
"pertama kali minum jam 7 malam, jam 2 malamnya langsung haid,",positif
"Alhamdulillah, habis 1 bungkus darah haid langsung keluar deras haha, makasih gan, pan kapan pasti order lagi 👍",positif
"Obat nya manjur banget di aku karena udah telat haid seminggu lebih, baru konsumsi sehari langsung haid, pengiriman juga di jaga banget",positif
Jamu nya ampuh banget utk yg suka telat haid. Ampuh bangeeet,positif
"Awal nya cuma coba"" aja sii karna udh telat haid 1 minggu tpi ga nyangka obatnya bnr"" ampuh baru 2x minum udh haid lagi😁",positif
"Tetap jadi andalan ketika telat haid, manjur poll. Sebulan lebih telat haid minum ini blm ada 1 bungkus lsg haid",positif
Produknya oke telat haid 2minggu baru minum ini 2hari sesuai anjuran haid langsung keluar deres bgttttt❤,positif
"Alhamdulillah ya. Udah terbukti manjur udah habis satu kotak udah haid aja. Pdhl telat 1bln 
  Terimakasih ya 👍👍🤗😘😘😘",positif
Jamunya enak untuk di konsumsi dan sanget ngefek untuk melancarkan yang sering telat datang bulan😊,positif
"Manjur banget, telat haid hampir mau 2 bulan, habis minum obat ini 3 hari an langsung haid",positif
"Bener2 ampuh deh msh 1x minum lg tp saya udah dapet,seneng bgt rasanya... Stlh tlat hmpir 2bln.
  Terima kasih.",positif
Sangat ampuh untuk aku yg kalau haid nya sakit dan nga lancar🙏,positif
"Manjur bgt, baru minum 2 kapsul besoknya mens dong 😭😭 recommended bgtttt",positif
Cocokkkk...rekomen...1 box saja meluruhkan haid terlambat 3 minggu....,positif
Sudah diminum rutin habis 1 box blm datang bulan juga sih..,negatif
tpi sayang di aku ga ngefek sama sekali😌,negatif
Efek obatnya bagus banget cocok untuk telat datang bulannya lama,positif
"Baru minum 2x langsung dapet, dan gak sakit perut seperti mens sebelum2nya🥺 terimakasih",positif
Alhamdulillah udah datang bulan lagi abis minum ini 4 harian,positif
belum keliatan khasiatnya udah minum 4x,negatif
Udh habis 1 kotak tapi blm mens juga😢,negatif
Baru 3kali minum udah langsung dateng tamu cantik,positif
"udah satu minggu telat datang bulan, baru minum 2x (malem,pagi) siangnya udah menstruasii👍👍",positif
Udh beberapa hari diminum. ga ngefek.cm bercak2 merah dikittttt bgt d celana ga tau harus minum brp bnyk supaya haid lancar.,negatif
saya msh telat 2 hari tp kok enggak ngefek ya,negatif
Sudah otw box yang ke 2 tapi belum halangan juga...,negatif
mantapp baru 2 kali minum langsung haid selama 2 minggu lebih telat,positif
Haid langsung keluar setelah 6 bungkus terimakasih,positif
"Bener* ampuh, btw aq baru minum 2hr lngsung haid deres bnget tanpa nyeri perut jadi gk ganggu aktvtas . ♥️♥️♥️",positif
Alhamdulillah diberikan cocok minum ini... Habis 1bungkus lngusng haid lancaaar jaya,positif
"rekomendasi bgtt, aku minum 3x habis itu langsung haid, bagus bgtt ini jamuuu",positif
Baru habis satu bungkus tapi jamunya mujarab banget,positif
Obat udh abis tpi ttp blm haid juga...,negatif
Gak ada reaksi sama sekali,negatif
Udah dicoba abis 28 butir msh blm haid juga,negatif
"Emas sebagus ini jamunya, cocok banget jamu ini untuk pelancar haid, mantap pokoknya",positif
minum 3x masih tidak ada efek,negatif
"Cocok banget nih buat saya, baru 1 kali minum 2 kapsul sudah datang bulan 👍🏻. Dapet bonus 1 jamu serbuk lg, nanti pasti langganan lg 👍🏻",positif
Edit.. Udah abis 1 box blm haid juga. Harus brapa box yaa ini btw?? Sediihhh pdhl telat blm ada sebulan,negatif
"Sya telat 1 minggu di tespack hasilnya negatif, minum jamu ini habis 1 bungkus 6 kali minum tpi BELUM HAID juga",negatif
Pas semalem diminum perut rasanya bergelombang😞terus sakit kayak mau haid gitu rasanya tapi cuma bentar kok.,negatif
ini jamu bener bener bagus bgt diaku😭 minum cuma 2 kali bener bener langsung haid yg tadinya telat sebulan,positif
Udah abis 2 dus tapi masih belum datang bulan juga belum ada reaksi terus kudu piye aku tuuhhh 😭😭😭,negatif
kurang lebih hampir habis 3. tapi blum haid juga sudah telat 1 bulan.. mungkin harus di bawa ke DR,negatif
"Tidak ada hasilnya, udah minum 2 kali",negatif
Udah habis obatnya tapi saya gak juga datang bulan,negatif
gak cocok minum jamu ini... abis minum jamu ny badan jadi gak karuan. kaya sesak gtu.,negatif
"Tapi saya baru habis satu bungkus masih belom keluar juga, cuma nyerinya aja yang ada",negatif
Ga cocok di aku Malah melancarkan BaB bukan m,negatif
"ampuh jamunya.. aq telat haid sebulan, Baru minum dua kali besoknya lgsg haid tp kluarnya dikit2 dan perut agak sedikit kram.",positif
"Gak keluar darah udah minum 3x ,malah bikin sesak nafas dan badan lemes gak karuan.kecewa",negatif
Saya sudah minum 24 kapsul namun tidak ada hasilnya,negatif
"SUDAH DUA BOX TAPI AKU BLM HET, KENAPA YA???",negatif
Ga ada pengaruh nya bos Jangan beli lg,negatif
"sangat tidak higienis, dikapsul nya ada rambut panjaaaaang!",negatif
udah minum sampai habis 24 kapsul ga ada pengaruhnya🙈🙏,negatif
Obat udh abis tapi blm datang bulan jugaKecepatan pengiriman standar,negatif
Manjur banget lho gaess... Beneran... Aku minum seminggu habis tu datang bulan lancaarrr ...padahal tadinya cuma flek aja bikin sakit perut,positif
"bener bener ngefek... minum dua hari langsung haidnya keluar, sebelumnya telat 5 harian dan cuman ngeflek doang😭.",positif
pelancar datang bulan,positif
gak ada efek nya sama sekali,negatif
Beneran gefek jamunya saya telat datang bulan langsung lancar,positif
Udah hampir abis di minum. TPI blum juga datang bulan. Padahal cuma telat 2 minggu,negatif
Blm tau apa manfaatnya. Udah mnum 3 TDK ada efek.. mksh gratis bedak basahnya kak,negatif
